Card_Number,Time,Amount,Transaction_Type,Geo_Location,Merchant_Category,Is_International,Is_Recurring,Velocity,User_History_Score,Transaction_Hour,Location_Mismatch,Bot_Activity_Flag,Fraud_Risk_Score,Class
43251248197,11,545.76,0,2,3,0,1,4,0.25,11,1,0,50.0,0
146705010498,9,583.38,3,0,4,1,0,9,0.48,9,0,1,50.0,0
500182046504,10,848.49,3,2,3,1,1,3,0.51,10,0,0,50.0,0
452464449920,0,850.03,3,3,1,1,1,6,0.8,0,1,0,50.0,0
480230071769,22,245.56,0,2,0,1,0,2,0.3,22,1,0,31.83,0
915521054806,5,594.79,2,3,2,1,1,5,0.4,5,1,0,50.0,0
441265151112,19,213.42,2,4,4,0,0,9,0.34,19,0,1,31.05,0
138507692043,11,881.68,1,2,1,1,1,2,0.39,11,0,0,50.0,0
970903741541,3,853.31,0,0,0,0,0,3,0.57,3,1,0,50.0,0
286657373782,17,864.41,3,2,2,0,0,2,0.56,17,0,0,50.0,0
219224419545,22,734.37,0,3,4,1,0,2,0.36,22,1,0,50.0,0
48910989885,2,520.19,1,1,0,1,0,6,0.6,2,0,0,50.0,0
709307023759,13,464.25,2,0,1,1,0,6,0.62,13,1,0,50.0,1
671972626195,6,455.7,2,3,4,1,0,5,0.53,6,0,0,50.0,0
228649680659,6,159.59,1,1,4,0,1,2,0.45,6,1,0,28.4,0
803839281351,1,953.98,0,0,3,1,0,1,0.08,1,1,0,50.0,1
770298453917,3,505.25,1,1,3,0,1,3,0.54,3,0,0,47.1,0
548045455637,4,937.1,3,4,4,0,1,3,0.71,4,1,0,50.0,0
686227437513,20,891.33,3,4,0,1,0,9,0.22,20,1,1,50.0,0
355075281792,10,845.75,1,2,1,0,0,4,0.78,10,1,0,50.0,0
459532303009,12,629.48,3,2,2,0,1,9,0.59,12,1,1,50.0,0
543205179469,0,191.4,3,2,3,0,1,1,0.24,0,0,0,22.1,0
171304808756,20,391.52,2,2,1,1,0,3,0.16,20,1,0,50.0,0
204147812207,14,643.23,0,1,4,0,0,1,0.25,14,0,0,50.0,0
578424442938,13,112.11,2,0,1,1,1,6,0.76,13,1,0,30.99,0
981776725060,3,138.37,2,0,1,0,1,1,0.25,3,1,0,28.38,0
800614772625,22,709.9,0,2,1,0,1,2,0.68,22,0,0,50.0,0
526279303635,18,899.38,2,4,4,1,0,9,0.55,18,1,1,50.0,0
804603519490,7,869.65,3,3,3,0,0,1,0.55,7,0,0,50.0,0
553737743122,7,251.33,1,2,2,1,1,4,0.85,7,1,0,37.92,1
339439755769,17,920.11,1,2,0,0,1,6,0.87,17,1,0,50.0,0
971807334747,16,726.67,0,4,3,0,0,2,0.54,16,1,0,50.0,0
909852785604,15,744.69,1,3,2,1,1,1,0.07,15,1,0,50.0,0
493568056274,4,373.64,1,1,4,0,0,4,0.16,4,0,0,41.36,0
848938498238,3,744.4,1,1,2,1,0,3,0.95,3,1,0,50.0,0
951611025786,12,738.8,1,3,4,0,0,7,0.13,12,1,0,50.0,0
354700591406,1,635.2,2,3,2,1,1,7,0.84,1,1,0,50.0,1
38035570606,4,421.56,3,1,3,0,0,7,0.54,4,1,0,49.77,0
272072102115,23,829.91,3,2,4,1,0,9,0.11,23,0,1,50.0,0
15230766299,14,943.77,1,2,1,1,0,9,0.92,14,1,1,50.0,0
210661670862,13,882.9,0,4,4,1,1,4,0.93,13,0,0,50.0,0
767584220712,19,318.68,2,3,4,0,1,9,0.62,19,1,1,45.17,0
773345461696,23,501.11,1,2,2,1,0,7,0.39,23,0,0,50.0,0
64223110439,5,408.17,1,2,4,0,0,6,0.61,5,1,0,46.74,0
126634458142,0,736.73,0,4,2,1,1,9,0.63,0,0,1,50.0,0
395709760120,2,848.34,2,3,3,1,0,4,0.62,2,1,0,50.0,0
871868553991,9,294.22,1,4,4,1,1,1,0.73,9,0,0,44.35,0
645149385104,11,952.55,0,4,1,0,1,6,0.07,11,0,0,50.0,0
859649548571,17,709.6,2,1,1,1,1,1,0.1,17,1,0,50.0,0
846909491502,3,296.6,2,4,3,0,1,9,0.28,3,1,1,40.37,0
432947306725,15,433.99,1,3,1,1,0,5,0.35,15,1,0,50.0,0
167554709332,5,194.15,0,2,2,1,1,2,0.64,5,0,0,27.14,0
230189148870,12,637.36,0,2,4,1,0,8,0.17,12,0,1,50.0,0
87986221425,16,252.27,1,1,0,0,0,6,0.54,16,1,0,30.41,0
124009860727,12,723.78,1,3,4,1,1,3,0.19,12,0,0,50.0,0
406455781898,13,763.52,1,2,4,0,1,2,0.36,13,1,0,50.0,0
996069459646,19,531.4,0,4,0,1,1,4,0.94,19,0,0,50.0,0
827161362196,3,184.44,2,0,1,0,1,1,0.9,3,1,0,24.52,0
72124796667,20,649.79,1,0,1,0,1,1,0.95,20,0,0,50.0,0
35810916291,22,434.98,3,0,4,1,0,5,0.59,22,1,0,45.52,1
612630487898,14,954.68,3,0,1,1,1,9,0.5,14,0,1,50.0,0
634002713148,9,561.89,1,4,2,0,1,5,0.85,9,1,0,50.0,0
48087394456,6,165.04,3,2,2,0,0,6,0.08,6,0,0,18.17,0
771863373542,17,672.44,2,1,0,0,1,9,0.98,17,1,1,50.0,0
918980927544,1,801.42,2,4,4,1,0,3,0.46,1,0,0,50.0,0
560823909211,22,244.45,3,2,2,0,1,4,0.68,22,1,0,30.71,0
72257883418,0,504.15,0,3,3,1,0,2,0.73,0,1,0,50.0,0
728281987841,16,768.88,1,2,1,1,0,4,0.63,16,0,0,50.0,0
757491544017,0,118.44,0,2,4,0,1,8,0.89,0,1,1,21.25,0
292771705727,21,126.07,2,2,2,0,1,2,0.29,21,0,0,17.7,0
88493564982,18,709.22,3,4,0,0,0,4,0.53,18,1,0,50.0,1
699461316108,23,752.61,1,2,2,0,1,8,0.43,23,0,1,50.0,0
71725269814,5,861.28,3,2,3,0,0,7,0.7,5,1,0,50.0,0
533313050950,22,459.64,3,3,2,0,0,9,0.4,22,0,1,50.0,0
597113236052,15,450.8,0,3,4,0,0,2,0.89,15,1,0,50.0,0
969113028663,0,597.13,0,0,0,1,0,4,0.49,0,1,0,50.0,0
135207443528,4,781.59,3,4,0,0,0,9,0.54,4,0,1,50.0,0
420951208717,3,676.89,2,2,3,0,1,6,0.49,3,0,0,50.0,0
804713624792,5,394.59,1,0,4,0,0,9,0.62,5,1,1,50.0,0
386033858554,9,411.89,3,0,3,1,1,9,0.51,9,1,1,50.0,0
417707411580,0,786.7,3,4,3,1,1,7,0.94,0,0,0,50.0,0
587527808553,12,581.18,3,0,3,0,0,7,0.13,12,0,0,50.0,0
97101008039,7,188.18,3,0,2,1,1,8,0.01,7,0,1,42.03,0
561569911960,1,237.7,0,4,1,0,0,2,0.52,1,1,0,38.98,0
725858681771,8,866.07,0,1,2,0,1,7,0.76,8,0,0,50.0,0
363359592891,22,998.92,2,0,4,0,1,6,0.65,22,0,0,50.0,0
568292637646,14,402.11,1,3,3,1,0,7,0.96,14,0,0,41.83,0
215125478292,11,448.03,3,0,3,1,0,6,0.18,11,1,0,49.45,0
250604973433,1,239.04,2,4,1,1,1,3,0.69,1,0,0,38.37,0
710283941311,14,312.14,0,4,0,1,1,5,0.82,14,0,0,38.7,0
356922952174,23,482.17,1,1,3,1,1,3,0.91,23,0,0,50.0,0
29736916445,18,355.95,2,1,2,1,0,6,0.53,18,0,0,42.9,0
857683165088,6,731.28,1,3,3,0,0,3,0.36,6,1,0,50.0,0
124407736925,14,584.06,1,3,4,1,1,2,0.96,14,1,0,50.0,0
998043708538,6,840.07,1,0,1,0,0,4,0.79,6,0,0,50.0,0
444007753118,7,752.07,0,1,0,1,0,9,0.47,7,0,1,50.0,0
439062544400,17,215.29,3,3,4,0,1,1,0.65,17,1,0,29.6,0
293417181867,22,211.05,1,0,2,0,0,8,0.28,22,1,1,31.39,0
165363196714,23,906.08,2,2,4,1,1,5,0.61,23,1,0,50.0,0
67545106699,18,837.56,1,0,3,0,1,2,0.54,18,1,0,50.0,0
110977078300,12,521.13,1,3,1,1,0,9,0.04,12,1,1,50.0,0
244891158088,2,217.33,0,0,3,0,0,2,0.87,2,1,0,33.73,0
848315352511,15,908.72,2,2,1,0,1,3,0.49,15,0,0,50.0,0
862075684096,12,307.63,1,3,2,1,1,1,0.48,12,0,0,43.66,0
428000259279,22,131.98,0,0,4,0,0,1,0.28,22,0,0,15.44,0
182497154984,14,931.82,0,3,1,0,1,2,0.2,14,0,0,50.0,0
143651466483,1,828.04,3,0,4,0,1,2,0.29,1,1,0,50.0,0
234521343279,7,724.13,3,4,1,1,0,6,0.65,7,0,0,50.0,0
311039869667,1,130.63,3,3,3,0,0,8,0.1,1,1,1,28.33,0
99733356507,3,575.59,1,3,1,0,1,4,0.33,3,1,0,50.0,0
965545898979,0,688.27,1,3,1,1,1,3,0.98,0,1,0,50.0,0
897709431723,13,783.41,1,3,0,0,1,2,0.27,13,0,0,50.0,0
698123906140,8,523.97,0,0,2,0,1,1,0.97,8,1,0,50.0,0
210640542698,15,958.01,1,1,3,1,1,8,0.1,15,0,1,50.0,0
881264129568,18,320.3,0,0,3,0,0,7,0.79,18,1,0,37.42,0
67239596374,22,162.76,2,2,4,0,1,2,0.44,22,0,0,19.91,0
32870586301,19,399.49,1,4,1,1,1,7,0.19,19,1,0,50.0,0
447571259255,15,695.62,2,0,1,1,1,6,0.79,15,0,0,50.0,0
161502163759,13,763.44,3,0,1,1,1,8,0.01,13,1,1,50.0,0
348698607326,20,764.65,2,3,3,0,0,6,0.35,20,1,0,50.0,0
275437708435,18,199.61,2,2,0,0,1,4,0.6,18,0,0,26.19,0
517604531306,4,896.58,0,3,4,0,1,8,0.23,4,1,1,50.0,0
118418802369,14,352.75,0,3,1,0,1,1,0.33,14,0,0,45.57,1
316525543909,13,288.92,0,1,0,0,1,1,0.09,13,0,0,27.92,1
512795263842,22,653.01,0,4,2,0,0,4,0.85,22,1,0,50.0,0
112131981850,21,290.66,3,1,3,0,0,1,0.42,21,0,0,33.35,0
305322858417,0,557.23,2,3,2,0,1,5,0.15,0,0,0,50.0,0
413833151622,3,466.33,3,4,3,0,0,9,0.2,3,0,1,50.0,0
421981178628,11,308.83,3,0,4,0,1,9,0.28,11,1,1,49.65,0
248260336704,2,362.85,0,2,2,1,0,9,0.23,2,1,1,50.0,0
633356143265,12,484.67,2,1,4,0,0,6,0.5,12,0,0,38.25,0
645461455496,12,411.54,2,2,4,1,0,1,0.91,12,0,0,40.91,0
976404914414,8,443.42,3,3,4,0,0,5,0.18,8,1,0,48.18,0
302043649313,1,761.89,0,4,2,1,1,2,0.45,1,1,0,50.0,0
172835949080,18,251.54,3,0,2,1,0,1,0.66,18,0,0,33.39,0
788010919746,21,664.86,2,4,2,1,0,5,0.18,21,1,0,50.0,0
175700672406,21,710.34,0,2,1,0,0,5,0.15,21,0,0,50.0,0
477860272704,4,821.88,3,2,4,0,0,1,0.16,4,0,0,50.0,1
347933262294,14,862.59,2,0,1,1,1,7,0.88,14,1,0,50.0,0
457950778811,15,242.8,1,0,3,0,1,3,0.71,15,0,0,21.8,0
203388896194,0,224.43,0,4,2,1,1,6,0.34,0,0,0,37.94,0
371541907168,16,653.29,2,1,0,0,1,2,0.9,16,1,0,50.0,0
879815334207,16,781.22,0,4,3,1,1,9,0.95,16,1,1,50.0,0
429660814477,3,345.09,2,2,4,1,0,2,0.4,3,1,0,50.0,0
665585114312,6,573.26,0,4,4,1,1,2,0.51,6,0,0,50.0,0
675407252668,23,795.02,1,3,1,1,0,1,0.36,23,1,0,50.0,1
479970420372,21,790.75,3,4,2,1,0,1,0.23,21,0,0,50.0,1
918946188335,21,688.44,3,4,2,0,0,4,0.78,21,0,0,50.0,0
999508148326,21,170.91,3,3,3,0,1,7,0.65,21,0,0,19.18,0
572493339752,18,145.58,1,2,3,1,0,4,0.37,18,0,0,17.83,0
945457649538,4,449.6,0,0,3,0,0,5,0.01,4,1,0,50.0,0
306632749633,4,124.02,0,4,0,0,0,6,0.76,4,1,0,18.07,0
771122025795,13,913.73,2,1,0,1,0,5,0.48,13,0,0,50.0,0
432360601308,4,118.13,2,0,4,0,1,5,0.07,4,0,0,15.9,0
500533568948,19,126.65,0,1,4,0,0,4,0.12,19,1,0,14.39,0
391205502429,22,248.79,1,4,4,1,0,9,0.63,22,0,1,34.01,0
292443049435,22,664.31,1,1,2,0,1,5,0.55,22,0,0,50.0,0
936612078358,23,587.4,3,0,4,1,1,9,0.24,23,0,1,50.0,0
583783479562,11,693.54,3,1,1,1,1,4,0.14,11,0,0,50.0,0
679598583731,4,904.2,3,1,3,0,0,9,0.88,4,0,1,50.0,0
984310651737,14,509.45,0,0,2,1,0,5,0.13,14,1,0,50.0,0
649978494142,14,139.49,2,0,0,0,0,8,0.09,14,1,1,25.89,0
694702284880,19,787.15,0,0,3,1,1,1,0.62,19,1,0,50.0,0
143986560071,21,830.77,0,0,4,1,1,4,0.25,21,1,0,50.0,0
986500155109,15,144.9,1,3,0,1,0,4,0.66,15,0,0,17.31,0
441581912657,17,318.56,1,4,0,1,1,2,0.49,17,1,0,37.43,0
759220643933,6,793.54,2,0,0,0,1,3,0.21,6,0,0,50.0,1
577453879901,22,438.54,2,2,3,0,1,8,0.07,22,0,1,42.12,0
872709325636,18,525.39,0,1,2,0,1,8,0.07,18,1,1,50.0,0
812427977834,19,840.86,0,0,3,0,0,1,0.59,19,1,0,50.0,0
476871935162,18,185.16,0,0,1,0,0,2,0.76,18,0,0,13.04,0
217500674435,20,709.56,0,4,4,0,0,4,0.69,20,1,0,50.0,0
528606441359,4,293.49,1,0,2,1,0,6,0.59,4,0,0,35.09,0
648203831942,11,156.39,3,3,2,0,0,3,0.21,11,0,0,16.26,0
835152818471,3,696.25,3,2,4,0,1,7,0.86,3,0,0,50.0,0
529479042318,21,209.27,3,2,1,0,0,3,0.63,21,1,0,35.5,0
219865042031,6,772.31,2,0,0,0,0,8,0.69,6,0,1,50.0,0
127765830766,0,282.43,2,4,4,0,1,6,0.22,0,1,0,28.43,0
239854284433,22,143.66,2,0,0,0,1,8,0.26,22,1,1,28.64,0
68212056175,23,189.37,2,1,4,0,1,7,0.91,23,1,0,20.98,0
347223087795,6,857.14,1,2,3,0,1,5,0.48,6,0,0,50.0,0
658222928368,1,433.87,0,1,1,1,1,5,0.55,1,0,0,50.0,0
682375437080,12,372.04,2,3,1,0,1,3,0.11,12,0,0,42.72,0
738428833718,0,542.08,3,2,4,1,1,4,0.39,0,1,0,50.0,0
587602144434,5,669.64,2,2,1,0,1,8,0.89,5,0,1,50.0,0
204883201707,10,133.39,3,3,0,0,0,5,0.9,10,0,0,5.29,0
675829357425,14,908.37,0,1,1,0,1,9,0.73,14,1,1,50.0,0
382366352517,10,962.63,1,0,1,0,1,3,0.55,10,0,0,50.0,1
168076555810,8,475.58,1,4,1,0,0,3,0.93,8,0,0,50.0,0
597290802723,10,471.37,2,1,2,0,0,8,0.87,10,1,1,50.0,0
705007309644,22,890.7,2,3,4,0,0,8,0.85,22,0,1,50.0,0
95887408074,1,486.38,3,3,3,0,1,7,0.88,1,0,0,45.89,1
266862072774,3,870.57,2,3,3,1,0,6,0.45,3,0,0,50.0,1
96947866031,3,125.5,1,2,2,1,0,7,0.53,3,0,0,26.88,0
113031427300,4,540.69,2,0,2,1,1,7,0.42,4,0,0,50.0,0
928618912912,22,957.19,3,2,3,0,0,6,0.74,22,1,0,50.0,0
588623541527,19,327.52,0,2,0,0,0,9,0.59,19,0,1,47.07,0
108206944086,20,339.54,1,2,3,0,1,5,0.07,20,0,0,41.78,0
785451326845,4,667.11,1,3,3,1,0,5,0.14,4,0,0,50.0,0
912286798530,8,933.57,0,1,4,1,1,6,0.19,8,0,0,50.0,1
761746347003,5,278.87,0,4,3,0,0,4,0.67,5,0,0,33.71,0
291200547137,21,929.49,1,4,3,1,0,9,0.11,21,0,1,50.0,0
503014772395,18,696.7,3,0,1,1,0,2,0.54,18,1,0,50.0,0
921549494942,4,993.74,3,0,2,0,1,3,0.84,4,1,0,50.0,0
653180305344,20,762.81,2,3,3,1,0,9,0.95,20,1,1,50.0,0
801546229129,17,701.02,3,4,3,1,0,1,0.43,17,0,0,50.0,0
44632072132,17,833.41,1,1,0,0,0,5,0.53,17,0,0,50.0,0
21758792464,21,257.63,2,3,3,1,0,3,0.83,21,0,0,27.54,0
740435241554,9,951.39,3,0,4,0,0,3,0.94,9,1,0,50.0,0
564073895022,7,249.04,0,3,0,0,0,1,0.39,7,1,0,30.86,0
935693507682,14,123.1,3,0,3,1,1,8,0.35,14,1,1,34.91,0
102412362873,15,728.07,2,4,4,0,1,3,0.45,15,1,0,50.0,0
72524615,8,266.14,0,3,2,1,1,4,0.25,8,1,0,38.8,0
525994187278,12,782.88,2,2,3,1,1,5,0.86,12,0,0,50.0,0
221790766203,16,815.54,2,0,2,0,1,5,0.32,16,1,0,50.0,0
840477480321,4,313.03,0,2,3,1,0,2,0.45,4,1,0,37.89,0
768135272125,15,178.05,2,0,0,0,1,7,0.32,15,1,0,15.55,0
170619511971,7,550.74,1,2,0,1,0,6,0.12,7,1,0,50.0,0
627676564600,11,901.2,2,4,4,0,1,7,0.61,11,1,0,50.0,0
844242885066,5,862.56,1,4,1,0,0,3,0.59,5,0,0,50.0,0
993753311347,17,205.37,0,1,4,0,1,8,0.29,17,0,1,30.52,0
536716117180,3,968.3,2,1,3,0,0,6,0.03,3,1,0,50.0,0
809915506717,0,337.55,3,1,2,0,0,7,0.94,0,0,0,32.92,0
854880281331,10,414.45,2,3,2,0,1,9,0.36,10,1,1,50.0,0
220572409690,20,234.15,1,0,3,0,1,8,0.54,20,0,1,24.64,1
876964440703,18,440.02,1,3,1,0,0,8,0.14,18,1,1,50.0,0
884322490456,19,672.08,3,1,1,1,1,3,0.25,19,1,0,50.0,0
821286814318,5,555.47,0,0,1,1,1,1,0.44,5,1,0,50.0,0
855750361877,3,844.79,1,3,3,1,0,1,0.56,3,0,0,50.0,0
631254755034,18,677.17,1,4,0,1,0,2,0.85,18,1,0,50.0,0
280559449457,11,337.19,1,0,0,1,0,8,0.29,11,0,1,50.0,0
150392825053,14,601.69,2,1,3,1,1,6,0.87,14,1,0,50.0,0
783995036079,11,157.77,2,4,0,1,0,6,0.46,11,1,0,27.82,0
549814564806,8,622.71,2,0,1,1,0,1,0.43,8,0,0,50.0,0
963843632870,21,450.7,2,3,0,0,1,2,0.4,21,1,0,47.46,0
687753728116,15,188.56,2,1,3,1,0,5,0.89,15,0,0,23.36,0
939786473158,5,376.72,3,3,0,1,0,3,0.25,5,1,0,42.19,0
96989892477,9,908.28,1,4,0,1,1,2,0.86,9,0,0,50.0,0
300357588190,20,627.43,3,4,0,1,0,9,0.09,20,0,1,50.0,0
143387501519,0,912.94,1,4,0,0,1,7,0.96,0,1,0,50.0,0
445551925700,3,469.72,2,0,3,0,1,1,0.5,3,1,0,45.41,0
158327984812,23,981.02,2,1,4,1,0,1,1.0,23,1,0,50.0,0
665519532104,1,424.02,0,4,0,1,0,3,0.61,1,1,0,42.77,1
116797306037,0,781.12,0,3,4,0,1,6,0.12,0,0,0,50.0,0
155849349479,8,374.86,3,1,3,0,1,2,0.06,8,0,0,34.88,1
716754829385,18,195.39,1,3,2,0,1,8,0.19,18,0,1,39.03,0
761208602334,3,849.75,3,3,4,1,1,4,0.42,3,0,0,50.0,0
220690133413,15,786.32,0,4,3,0,1,8,0.75,15,0,1,50.0,0
10993369884,0,838.57,1,1,2,0,1,7,0.0,0,1,0,50.0,1
900517834724,3,369.73,3,2,0,0,1,2,0.26,3,1,0,40.1,0
292266697443,21,733.3,0,0,3,0,0,9,0.59,21,0,1,50.0,0
693137826839,18,297.93,2,2,1,0,1,5,0.3,18,1,0,35.82,0
240277317793,11,110.18,3,0,2,0,0,6,0.36,11,0,0,5.02,0
218064736448,22,879.84,2,1,1,1,1,2,0.3,22,0,0,50.0,1
885548976654,1,571.17,3,4,0,1,0,3,0.95,1,1,0,50.0,0
322535238469,9,985.29,1,1,0,0,0,8,0.07,9,0,1,50.0,0
148285367545,15,446.53,1,2,4,0,1,5,0.91,15,1,0,47.95,0
470699180958,10,961.19,1,3,0,0,1,1,0.32,10,1,0,50.0,0
33844500823,20,653.55,1,0,4,1,0,9,0.25,20,0,1,50.0,0
87176506968,3,560.98,0,0,2,1,0,1,0.88,3,0,0,50.0,1
18855334200,17,372.53,2,2,1,1,0,9,0.29,17,0,1,50.0,0
600293310232,17,842.75,0,4,2,1,1,6,0.99,17,1,0,50.0,0
790163725800,5,845.92,3,1,1,0,1,7,0.55,5,0,0,50.0,0
724045722983,19,475.24,3,2,3,1,1,1,0.48,19,0,0,46.94,1
361752847676,16,754.56,2,1,2,0,0,1,0.98,16,1,0,50.0,0
216221370044,22,502.51,2,4,3,0,1,5,0.23,22,1,0,50.0,0
50484570182,12,765.69,0,3,1,0,1,2,0.91,12,1,0,50.0,1
541630356662,11,994.77,1,1,4,0,1,5,0.59,11,1,0,50.0,0
573719887990,7,336.25,0,4,2,0,0,5,0.75,7,1,0,44.52,0
159484193800,11,670.65,0,2,2,0,0,6,0.58,11,1,0,50.0,0
629182179559,23,441.89,3,3,4,0,0,9,0.62,23,0,1,50.0,0
665385323214,9,593.53,0,3,4,0,1,6,0.15,9,1,0,50.0,1
152598058313,15,886.73,2,3,0,1,0,1,0.15,15,1,0,50.0,0
29894524753,5,412.82,1,0,0,0,0,5,0.4,5,0,0,37.32,0
180036083209,18,165.15,3,4,1,1,0,2,0.35,18,1,0,27.87,0
389550915123,1,819.04,2,1,2,0,0,8,0.71,1,0,1,50.0,0
483892708891,15,599.52,3,2,4,0,1,7,0.72,15,0,0,50.0,0
376046308417,7,504.46,0,3,4,0,0,6,0.56,7,0,0,50.0,0
129016915237,10,265.0,0,3,3,0,1,2,0.4,10,0,0,28.52,0
295067729085,12,183.57,2,3,0,0,0,3,0.68,12,1,0,28.61,0
860054817419,17,350.86,2,4,3,1,1,9,0.69,17,1,1,50.0,0
597314115983,7,747.01,3,2,4,0,0,9,0.81,7,1,1,50.0,0
565730625180,9,470.59,1,4,2,1,0,7,0.81,9,1,0,50.0,0
554409416232,20,613.2,3,2,2,0,1,2,0.07,20,1,0,50.0,0
234037968493,19,173.84,0,1,3,1,0,7,0.37,19,0,0,28.83,0
786643909960,6,210.92,2,0,0,1,0,1,0.42,6,1,0,35.78,0
48522658549,19,110.18,2,2,1,1,1,9,0.85,19,1,1,46.19,0
606285846360,11,705.96,3,4,2,0,1,9,0.5,11,1,1,50.0,0
674145155009,3,338.01,2,4,1,1,0,6,0.49,3,1,0,41.47,0
299231896652,6,970.23,2,4,0,1,0,1,0.55,6,0,0,50.0,0
577800229790,5,377.61,0,0,3,0,0,8,0.13,5,0,1,49.62,0
112501046790,7,427.26,1,2,0,0,0,6,0.57,7,0,0,40.87,0
649026906400,11,522.54,2,2,4,0,0,9,0.55,11,0,1,50.0,0
82498587708,4,387.23,2,2,0,1,1,9,0.75,4,0,1,50.0,0
582258622182,19,835.7,3,2,3,0,0,7,0.63,19,0,0,50.0,0
487121755873,9,888.59,1,3,3,0,0,4,0.96,9,0,0,50.0,0
380115392225,14,109.93,0,3,0,1,0,1,0.08,14,1,0,21.39,1
763391081783,12,689.2,2,4,3,0,0,3,0.77,12,1,0,50.0,0
789946930242,9,717.48,1,3,4,0,0,6,0.75,9,1,0,50.0,0
685906249394,10,965.28,1,2,1,0,1,1,0.27,10,0,0,50.0,0
459957787190,17,433.36,3,2,0,0,0,4,0.7,17,1,0,40.65,0
